system:index,MNDWI,NDBI,NDVI_norm,elevation,land_cover,slope,.geo
2_0_0,-0.23729056,0.07092199,0.13410361,16,bare,1.3808463,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-98.03283254561394,24.996566011674012]}"
2_1_0,-0.25314415,0.057568863,0.16079032,11,bare,1.8543341,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-98.0204357946931,24.985516733679344]}"
2_2_0,-0.23197694,0.078825474,0.11786366,15,bare,1.3815837,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-98.0166628704998,25.1159521129335]}"
2_3_0,-0.26040316,0.06706633,0.15813474,14,bare,1.3816371,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-98.02959861059112,25.12430644507581]}"
2_4_0,-0.22379032,0.08598904,0.10360657,13,bare,2.1175196,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-98.02097478386356,24.983899766167927]}"
2_5_0,-0.271431,0.06611097,0.17746359,14,bare,1.023285,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-98.01612388132932,25.0024948925492]}"
2_6_0,0.18185641,-0.093524344,-0.08167058,1,bare,2.2564166,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.21976738195737,25.678926301491202]}"
2_7_0,-0.04409297,-0.06878105,0.07985329,1,bare,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.22030637112783,25.790766554364083]}"
2_8_0,-0.19124754,0.048561305,0.09398215,0,bare,1.3853753,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.20764012562175,25.71611655425375]}"
2_9_0,-0.05607619,-0.037232727,0.036128215,4,bare,2.7665112,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.43051214761181,25.510492185718793]}"
2_10_0,-0.03759056,-0.10761781,0.14418125,4,bare,3.2211366,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.20521467435464,25.712613124645685]}"
2_11_0,-0.26470876,0.055115122,0.19243398,18,bare,1.8543341,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-98.03552749146631,25.148830452332273]}"
2_12_0,-0.2371841,0.09800464,0.105009146,15,bare,3.5823808,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-98.02905962142064,25.0024948925492]}"
2_13_0,-0.2453118,0.04472048,0.1872623,13,bare,1.8543341,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-98.02151377303404,25.130504820536235]}"
2_14_0,-0.2332153,-0.032221865,0.24007767,9,bare,1.3849958,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.43159012595275,25.65682774550186]}"
2_15_0,-0.23297264,0.05665911,0.15492536,16,bare,2.118103,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-98.01801034342597,25.12861835843958]}"
2_16_0,-0.2628816,0.047380213,0.19778478,14,bare,1.0235234,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-98.03148507268777,25.031061318584204]}"
2_17_0,-0.26565555,0.06447895,0.17200428,11,bare,2.1178763,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-98.01073398962461,25.072563484710525]}"
2_18_0,-0.2544742,0.0817765,0.13954963,15,bare,2.1175408,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-98.02178326761928,24.989289657872646]}"
2_19_0,-0.17517023,0.029385682,0.10592827,1,bare,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.20251972850227,25.79750391899498]}"
